"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Theo Riddick","DEN","22.3","119.6","0.6","25.1","182.4","0.6","0.1","62.1"
"Chase Edmonds","ARI","52.9","231.8","1.6","13.8","106.5","0.2","0.6","57.3"
"Bilal Powell","NYJ","58.1","276.7","1.3","10.8","91.2","0.5","0.5","57.0"
"Rex Burkhead","NE","41.9","159.0","1.6","15.1","125.3","0.7","0.7","56.0"
"Corey Clement","PHI","39.0","175.5","1.5","14.6","115.2","0.4","0.4","54.0"
"Dontrell Hilliard","CLE","37.9","136.7","0.9","17.1","152.7","0.5","0.5","53.1"
"Kyle Juszczyk","SF","7.2","23.1","0.3","23.0","209.8","0.9","0.8","51.7"
"Josh Ferguson","HOU","64.0","287.5","1.7","6.7","56.1","0.2","0.6","51.0"
"T.J. Yeldon","BUF","41.4","152.7","0.8","15.2","128.7","0.5","0.2","50.4"
"Dare Ogunbowale","TB","38.2","130.8","0.8","16.2","124.6","0.4","0.2","48.6"
"Wayne Gallman","NYG","53.3","208.6","1.3","11.4","81.0","0.2","0.9","47.0"
"Elijah McGuire","NYJ","31.4","107.1","0.8","14.2","137.7","0.8","1.0","46.3"
"Jacquizz Rodgers","NO","23.2","92.6","0.6","16.0","133.6","0.7","0.0","46.0"
"Ty Johnson","DET","39.5","155.8","0.8","12.7","98.0","0.5","0.6","44.7"
"J.D. McKissic","SEA","27.9","108.3","0.6","13.7","109.1","1.0","0.4","44.7"
"Ryquell Armstead","JAC","45.1","180.9","1.2","9.9","78.4","0.3","0.3","44.3"
"Malcolm Brown","LAR","48.7","199.1","1.5","7.5","50.8","0.2","0.3","41.6"
"Reggie Bonnafon","CAR","0.0","138.8","1.0","11.0","85.2","0.4","0.2","41.3"
"Darren Sproles","PHI","25.7","92.0","0.5","13.6","116.1","0.5","0.4","39.4"
"Brian Hill","ATL","37.5","187.6","1.3","7.1","52.6","0.2","0.5","39.1"
"Cameron Artis-Payne","CAR","45.3","203.8","1.5","5.3","41.1","0.1","0.4","38.8"
"C.J. Prosise","SEA","16.7","58.7","0.0","16.1","115.2","0.8","0.0","38.3"
"Carlos Hyde","KC","64.0","163.4","1.4","7.8","46.8","0.2","0.2","38.1"
"Devontae Booker","DEN","32.8","131.1","0.8","11.5","91.7","0.2","1.0","37.7"
"Buddy Howell","HOU","73.4","237.1","1.4","2.9","29.4","0.1","0.5","37.2"
"Andre Ellington","TB","20.8","78.5","0.9","12.6","115.7","0.1","0.6","37.1"
"Dexter Williams","GB","39.1","156.2","1.1","7.5","55.5","0.2","0.3","36.2"
"DeAndre Washington","OAK","59.6","186.1","1.1","7.6","59.8","0.1","1.6","35.8"
"Thomas Rawls","JAC","18.6","74.3","0.3","12.8","100.4","0.4","0.1","34.2"
"Darrel Williams","KC","36.1","118.7","1.0","6.2","60.2","0.7","0.4","33.7"
"Brandon Bolden","NE","15.4","110.2","3.2","1.9","15.3","0.1","1.0","32.2"
"Benny Snell Jr.","PIT","36.0","141.7","0.9","6.4","52.3","0.2","0.6","30.9"
"Jordan Wilkins","IND","42.2","189.0","1.1","4.3","27.5","0.1","1.5","30.1"
"Kenneth Dixon","BAL","26.2","120.1","0.9","6.1","45.5","0.3","0.0","29.4"
"Alfred Morris","DAL","28.0","146.4","0.9","5.1","38.2","0.1","0.4","28.8"
"Jordan Scarlett","CAR","27.6","110.0","0.8","6.9","48.5","0.1","0.1","27.8"
"Qadree Ollison","ATL","32.6","129.2","0.9","4.3","34.6","0.2","0.2","27.1"
"D'Ernest Johnson","CLE","0.0","89.7","0.6","6.8","55.9","0.3","0.1","26.1"
"Rod Smith","NYG","17.7","94.8","0.8","5.7","39.6","0.2","0.1","24.7"
"Karan Higdon","HOU","28.3","117.3","0.8","3.8","30.7","0.2","0.1","24.2"
"Taiwan Jones","HOU","27.4","85.4","0.2","7.6","60.2","0.1","0.0","24.0"
"Mark Walton","MIA","23.0","97.6","0.6","5.4","45.3","0.2","0.2","23.9"
"Myles Gaskin","MIA","27.4","109.2","0.4","5.4","44.5","0.2","0.1","23.7"
"Darius Jackson","DAL","18.1","64.8","0.1","9.4","62.4","0.1","0.0","23.3"
"Paul Perkins","NYG","24.1","95.6","0.6","5.4","36.7","0.2","0.0","23.0"
"Ameer Abdullah","MIN","17.0","52.1","0.3","7.2","59.4","0.4","0.1","21.9"
"James Develin","NE","6.0","22.1","1.1","6.9","46.2","0.2","0.0","21.0"
"Anthony Sherman","KC","6.7","19.5","0.1","6.9","67.9","0.7","0.0","20.3"
"Travis Homer","SEA","22.0","100.1","0.6","3.2","29.3","0.1","0.0","20.3"
"Wendell Smallwood","PHI","13.4","56.0","0.4","6.6","46.0","0.2","0.0","20.3"
"Raheem Mostert","SF","15.0","111.4","0.7","2.6","16.7","0.1","0.3","19.6"
"Josh Adams","PHI","23.4","85.3","0.6","3.9","25.5","0.1","0.0","19.4"
"Trayveon Williams","CIN","13.6","82.9","0.4","4.4","33.2","0.1","0.1","18.9"
"Doug Martin","OAK","24.8","102.5","0.8","2.1","16.2","0.1","0.3","18.6"
"Mike Boone","MIN","19.2","88.8","0.6","3.3","22.9","0.1","0.1","18.5"
"Zach Line","NO","9.4","39.8","0.3","4.8","29.7","0.7","0.1","17.4"
"Trenton Cannon","NYJ","10.5","41.2","0.2","5.7","42.3","0.1","0.1","15.9"
"Spencer Ware","IND","14.0","56.3","0.5","3.4","24.8","0.3","0.0","15.8"
"Trey Edmunds","PIT","16.3","45.2","0.8","3.2","23.4","0.1","0.0","15.2"
"Bryce Love","WAS","8.0","32.2","0.2","5.3","43.0","0.2","0.1","15.0"
"Dwayne Washington","NO","25.3","80.9","0.4","2.2","15.9","0.1","0.0","14.9"
"Tyler Ervin","BAL","5.6","33.9","0.3","5.1","39.8","0.2","0.1","14.8"
"Justin Davis","LAR","17.6","102.6","0.5","0.7","4.7","0.0","0.0","14.4"
"Elijhaa Penny","NYG","6.3","24.9","0.2","5.4","44.9","0.2","0.1","14.4"
"Alex Armah","CAR","17.9","52.2","0.4","3.4","21.3","0.2","0.0","14.1"
"D.J. Foster","ARI","8.8","34.7","0.1","5.3","35.7","0.2","0.0","14.1"
"Nick Bawden","DET","0.0","27.9","0.3","5.0","31.7","0.2","0.1","14.0"
"Nick Bellore","SEA","9.7","16.5","0.1","6.0","42.3","0.3","0.0","13.8"
"Tra Carson","GB","8.7","34.4","0.4","3.3","28.0","0.3","0.0","13.6"
"Kenneth Farrow","MIA","8.0","33.6","0.1","4.4","40.5","0.1","0.0","13.2"
"T.J. Logan","ARI","9.6","27.5","0.2","4.9","34.0","0.2","0.1","13.1"
"Tremon Smith","KC","8.0","30.1","0.2","4.1","34.1","0.2","0.0","12.7"
"Andy Janovich","DEN","2.6","9.5","0.1","5.5","40.0","0.3","0.0","12.7"
"CJ Ham","MIN","10.9","28.0","0.2","4.4","32.5","0.2","0.0","12.7"
"Patrick Ricard","BAL","7.3","32.1","0.2","4.1","30.9","0.1","0.0","12.1"
"Detrez Newsome","LAC","8.9","38.4","0.2","3.2","25.4","0.2","0.1","11.8"
"John Kelly","LAR","12.1","43.7","0.3","2.7","20.0","0.2","0.0","11.8"
