"Rank","Tier","WSID","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"300","13","","Case Keenum","WAS","QB34","10","190","400","306.1","35.2","353.0","+53.0"
"301","13","","Alfred Blue","JAC","RB83","10","143","386","295.8","50.2","314.0","+13.0"
"302","13","","Detroit (DET)","","DST25","5","156","347","300.8","28.1","247.0","-55.0"
"303","13","","Terry McLaurin","WAS","WR103","10","88","374","253.7","57.2","328.0","+25.0"
"304","13","","Jordan Wilkins","IND","RB84","6","217","393","291.2","32.9","357.0","+53.0"
"305","13","","Daniel Carlson","OAK","K25","6","157","342","301.8","32.2","332.0","+27.0"
"306","13","","Demarcus Robinson","KC","WR104","12","137","377","284.4","47.7","285.0","-21.0"
"307","13","","Josh Adams","PHI","RB85","10","93","388","282.4","54.6","403.0","+96.0"
"308","13","","Jonnu Smith","TEN","TE35","11","139","365","287.0","36.4","386.0","+78.0"
"309","13","","New York (NYJ)","","DST26","4","207","355","291.9","29.6","242.0","-67.0"
"310","13","","Cairo Santos","TB","K26","7","183","332","303.2","24.8","568.0","+258.0"
"311","13","","Diontae Johnson","PIT","WR105","7","138","389","283.2","53.2","331.0","+20.0"
"312","13","","Will Dissly","SEA","TE36","11","163","360","272.1","54.2","307.0","-5.0"
"313","13","","New York (NYG)","","DST27","11","147","355","311.2","32.4","281.0","-32.0"
"314","13","","Matt LaCosse","NE","TE37","10","173","394","262.3","55.3","276.0","-38.0"
"315","13","","Deon Cain","IND","WR106","6","206","384","304.0","41.7","309.0","-6.0"
"316","13","","Cordarrelle Patterson","CHI","WR107","6","151","396","306.2","37.5","371.0","+55.0"
"317","13","","Wendell Smallwood","PHI","RB86","10","193","382","302.2","32.9","376.0","+59.0"
"318","13","","Jake Kumerow","GB","WR108","11","196","378","300.3","40.9","373.0","+55.0"
"319","13","","Wayne Gallman","NYG","RB87","11","233","368","309.2","30.7","341.0","+22.0"
"320","13","","Jordan Thomas","HOU","TE38","10","163","368","266.9","55.8","305.0","-15.0"
"321","13","","Irv Smith Jr.","MIN","TE39","12","153","366","286.9","42.4","235.0","-86.0"
"322","13","","San Francisco (SF)","","DST28","4","150","347","306.6","33.4","236.0","-86.0"
"323","13","","Jake Butt","DEN","TE40","10","191","385","302.3","39.2","381.0","+58.0"
"324","13","","Ryan Grant","OAK","WR109","6","212","372","298.9","32.0","971.0","+647.0"
"325","13","","Keith Kirkwood","NO","WR110","9","208","390","308.0","38.6","518.0","+193.0"
"326","13","","Spencer Ware","IND","RB88","6","195","380","280.8","39.9","352.0","+26.0"
"327","13","","Dustin Hopkins","WAS","K27","10","158","332","313.1","23.1","311.0","-16.0"
"328","13","","Geoff Swaim","JAC","TE41","10","136","381","278.7","60.7","308.0","-20.0"
"329","13","","Cameron Meredith","NE","WR111","10","220","405","306.2","32.5","677.0","+348.0"
"330","13","","Daniel Jones","NYG","QB35","11","192","404","318.6","43.3","262.0","-68.0"
"331","13","","Ryan Tannehill","TEN","QB36","11","191","414","326.5","40.4","405.0","+74.0"
"332","13","","J'Mon Moore","GB","WR112","11","243","379","306.7","29.3","923.0","+591.0"
"333","13","","Travis Benjamin","LAC","WR113","12","193","390","279.1","51.6","367.0","+34.0"
"334","13","","Bruce Anderson","TB","RB89","7","176","374","287.8","51.9","298.0","-36.0"
"335","13","","Miami (MIA)","","DST29","5","139","355","314.8","39.7","277.0","-58.0"
"336","13","","Tampa Bay (TB)","","DST30","7","145","349","315.8","35.9","304.0","-32.0"
"337","13","","Josh Gordon","NE","WR114","10","140","384","263.7","65.1","191.0","-146.0"
"338","13","","KeeSean Johnson","ARI","WR115","12","163","385","274.0","72.6","315.0","-23.0"
"339","13","","Justin Watson","TB","WR116","7","212","378","284.2","47.7","434.0","+95.0"
"340","13","","Bilal Powell","NYJ","RB90","4","229","369","309.7","36.1","345.0","+5.0"
"341","13","","Cameron Artis-Payne","CAR","RB91","7","237","388","326.1","28.2","334.0","-7.0"
"342","14","","Jace Sternberger","GB","TE42","11","173","376","288.0","49.4","342.0","0.0"
"343","14","","Mike Weber","DAL","RB92","8","199","377","311.1","33.0","303.0","-40.0"
"344","14","","Benjamin Watson","NE","TE43","10","147","383","295.3","45.9","254.0","-90.0"
"345","14","","Trent Taylor","SF","WR117","4","214","371","299.6","47.1","343.0","-2.0"
"346","14","","Blake Jarwin","DAL","TE44","8","153","374","300.4","51.4","355.0","+9.0"
"347","14","","John Kelly","LAR","RB93","9","257","393","316.2","33.4","918.0","+571.0"
"348","14","","Chandler Catanzaro","NYJ","K28","4","220","342","313.7","20.2","330.0","-18.0"
"349","14","","Matt Bryant","FA","K29","","197","320","273.3","32.4","329.0","-20.0"
"350","14","","C.J. Uzomah","CIN","TE45","9","163","391","306.6","48.1","344.0","-6.0"
"351","14","","Qadree Ollison","ATL","RB94","9","185","386","307.4","57.3","293.0","-58.0"
"352","14","","Rod Smith","NYG","RB95","11","237","388","324.8","26.3","1,018.0","+666.0"
"353","14","","Kendrick Bourne","SF","WR118","4","179","392","317.6","37.8","414.0","+61.0"
"354","14","","Josh Oliver","JAC","TE46","10","180","389","308.5","60.9","359.0","+5.0"
"355","14","","Hunter Renfrow","OAK","WR119","6","141","390","281.7","63.3","312.0","-43.0"
"356","14","","Maurice Harris","NE","WR120","10","151","390","276.2","52.0","322.0","-34.0"
"357","14","","Jesse James","DET","TE47","5","219","362","310.3","39.3","273.0","-84.0"
"358","14","","Luke Willson","OAK","TE48","6","242","389","311.3","34.4","694.0","+336.0"
"359","14","","Vernon Davis","WAS","TE49","10","190","383","312.9","37.5","461.0","+102.0"
"360","14","","Jay Ajayi","FA","RB96","","59","388","293.8","51.4","255.0","-105.0"
"361","14","","Jalen Hurd","SF","WR121","4","120","386","315.1","45.6","377.0","+16.0"
"362","14","","Ameer Abdullah","MIN","RB97","12","280","382","331.2","26.0","459.0","+97.0"
"363","14","","Alfred Morris","DAL","RB98","8","148","386","285.6","52.0","232.0","-131.0"
"364","14","","Trayveon Williams","CIN","RB99","9","199","392","325.8","35.7","299.0","-65.0"
"365","14","","Myles Gaskin","MIA","RB100","5","232","382","332.0","22.7","358.0","-7.0"
"366","14","","Zach Zenner","DET","RB101","5","190","388","336.3","28.7","419.0","+53.0"
"367","14","","Dawson Knox","BUF","TE50","6","180","381","299.6","40.9","372.0","+5.0"
"368","14","","Tyler Higbee","LAR","TE51","9","209","366","324.3","35.4","365.0","-3.0"
"369","14","","Andre Ellington","TB","RB102","7","187","390","309.8","47.0","1,019.0","+650.0"
"370","14","","Chester Rogers","IND","WR122","6","228","396","331.3","38.9","437.0","+67.0"
"371","14","","Tim Patrick","DEN","WR123","10","215","375","319.8","44.0","472.0","+101.0"
"372","14","","Austin Seferian-Jenkins","FA","TE52","","232","343","278.1","24.1","615.0","+243.0"
"373","14","","Jeff Wilson","SF","RB103","4","270","382","328.5","25.6","487.0","+114.0"
"374","14","","Adam Shaheen","CHI","TE53","6","163","367","319.8","41.0","465.0","+91.0"
"375","14","","Darren Sproles","PHI","RB104","10","199","371","296.7","53.0","286.0","-89.0"
"376","14","","Jordan Scarlett","CAR","RB105","7","170","389","313.9","56.0","374.0","-2.0"
"377","14","","Cody Parkey","FA","K30","","155","353","292.7","46.2","369.0","-8.0"
"378","14","","Dontrelle Inman","NE","WR124","10","152","398","316.2","46.5","851.0","+473.0"
"379","14","","Trenton Cannon","NYJ","RB106","4","281","380","337.9","25.4","417.0","+38.0"
"380","14","","Jaron Brown","SEA","WR125","11","194","384","314.8","47.6","416.0","+36.0"
"381","14","","Michael Crabtree","FA","WR126","","210","360","292.0","31.0","370.0","-11.0"
"382","14","","Bryce Love","WAS","RB107","10","238","386","316.4","43.6","316.0","-66.0"
"383","14","","Brian Hill","ATL","RB108","9","170","373","286.5","47.7","351.0","-32.0"
"384","14","","Cincinnati (CIN)","","DST31","9","149","355","332.1","16.7","339.0","-45.0"
"385","14","","Kelvin Harmon","WAS","WR127","10","239","395","317.9","43.1","313.0","-72.0"
"386","14","","Drew Lock","DEN","QB37","10","196","417","343.0","34.2","336.0","-50.0"
"387","14","","Laquon Treadwell","MIN","WR128","12","271","373","333.0","22.2","426.0","+39.0"
"388","14","","Dontrell Hilliard","CLE","RB109","7","172","369","290.8","51.3","388.0","0.0"
"389","14","","Randy Bullock","CIN","K31","9","284","353","326.9","11.5","395.0","+6.0"
"390","14","","Chad Beebe","MIN","WR129","12","211","382","292.5","50.6","467.0","+77.0"
"391","14","","Jakobi Meyers","NE","WR130","10","151","373","300.8","60.8","290.0","-101.0"
"392","14","","Ryan Switzer","PIT","WR131","7","222","376","311.0","45.3","425.0","+33.0"
"393","14","","Mark Walton","MIA","RB110","5","270","378","328.0","25.8","1,023.0","+630.0"
"394","14","","Jakeem Grant","MIA","WR132","5","240","369","313.9","45.5","1,017.0","+623.0"
"395","14","","Rodney Anderson","CIN","RB111","9","245","393","333.5","29.1","321.0","-74.0"
"396","14","","Damarea Crockett","HOU","RB112","10","198","386","308.1","49.0","464.0","+68.0"
"397","14","","Gary Jennings","SEA","WR133","11","206","377","322.4","29.6","469.0","+72.0"
"398","14","","Kahale Warring","HOU","TE54","10","232","394","332.9","41.4","409.0","+11.0"
"399","14","","Tyler Kroft","BUF","TE55","6","246","391","328.7","36.4","410.0","+11.0"
"400","14","","Blake Bortles","LAR","QB38","9","194","397","352.1","27.0","433.0","+33.0"
"401","14","","Marcus Murphy","BUF","RB113","6","292","380","342.0","17.5","827.0","+426.0"
"402","14","","Javorius Allen","FA","RB114","","272","382","330.4","24.8","423.0","+21.0"
"403","15","","Zane Gonzalez","ARI","K32","12","285","353","331.0","12.9","346.0","-57.0"
"404","15","","Cody Latimer","NYG","WR134","11","242","377","315.7","46.7","1,014.0","+610.0"
"405","15","","Jordan Matthews","SF","WR135","4","294","377","339.3","25.4","446.0","+41.0"
"406","15","","Chris Moore","BAL","WR136","8","203","387","323.4","43.8","348.0","-58.0"
"407","15","","Rishard Matthews","NO","WR137","9","223","419","332.4","45.8","755.0","+348.0"
"408","15","","Taysom Hill","NO","QB39","9","195","408","350.3","26.5","379.0","-29.0"
"409","15","","Darrel Williams","KC","RB115","12","200","376","334.8","35.8","441.0","+32.0"
"410","15","","Travis Homer","SEA","RB116","11","168","384","316.3","47.1","493.0","+83.0"
"411","15","","Preston Williams","MIA","WR138","5","244","378","307.1","50.5","385.0","-26.0"
"412","15","","Riley Ridley","CHI","WR139","6","263","393","344.1","37.8","287.0","-125.0"
"413","15","","Allen Hurns","MIA","WR140","5","173","407","345.3","35.3","625.0","+212.0"
"414","15","","Eddy Pineiro","CHI","K33","6","251","353","336.1","15.7","333.0","-81.0"
"415","15","","Ty Johnson","DET","RB117","5","233","362","286.2","42.7","412.0","-3.0"
"416","15","","Oakland (OAK)","","DST32","6","309","355","334.9","12.5","296.0","-120.0"
"417","15","","Jarius Wright","CAR","WR141","7","253","395","353.8","31.6","439.0","+22.0"
"418","15","","Alex Collins","FA","RB118","","182","334","299.8","31.8","400.0","-18.0"
"419","15","","Dez Bryant","FA","WR142","","261","315","286.8","19.0","317.0","-102.0"
"420","15","","J.J. Nelson","OAK","WR143","6","261","390","330.6","37.9","539.0","+119.0"
"421","15","","LeGarrette Blount","FA","RB119","","305","360","331.0","14.2","408.0","-13.0"
"422","15","","Jeff Heuerman","DEN","TE56","10","161","376","351.0","29.1","428.0","+6.0"
"423","15","","Pierre Garcon","FA","WR144","","262","371","313.7","36.8","504.0","+81.0"
"424","15","","Josh Ferguson","HOU","RB120","10","175","353","276.3","73.4","1,021.0","+597.0"
"425","15","","Will Grier","CAR","QB40","7","193","383","350.7","38.7","396.0","-29.0"
"426","15","","Torrey Smith","CAR","WR145","7","279","378","339.3","29.3","513.0","+87.0"
"427","15","","Matt Gay","TB","K34","7","236","353","320.3","20.1","301.0","-126.0"
"428","15","","Jason Sanders","MIA","K35","5","316","342","334.9","5.1","402.0","-26.0"
"429","15","","Mike Boone","MIN","RB121","12","273","367","349.2","16.1","1,016.0","+587.0"
"430","15","","Kelvin Benjamin","FA","WR146","","285","370","325.5","30.3","516.0","+86.0"
"431","15","","Karan Higdon","HOU","RB122","10","296","392","336.9","26.5","497.0","+66.0"
"432","15","","Kyle Juszczyk","SF","RB123","4","245","382","338.7","33.8","429.0","-3.0"
"433","15","","Teddy Bridgewater","NO","QB41","9","289","385","347.8","17.0","383.0","-50.0"
"434","15","","Chris Ivory","FA","RB124","","307","363","332.3","16.4","485.0","+51.0"
"435","15","","Scott Miller","TB","WR147","7","248","355","303.0","44.7","",""
"436","15","","Jordan Akins","HOU","TE57","10","258","394","344.1","39.9","519.0","+83.0"
"437","15","","Kevin White","ARI","WR148","12","262","377","335.7","34.5","594.0","+157.0"
"438","15","","Jason Croom","BUF","TE58","6","228","374","337.7","25.0","669.0","+231.0"
"439","15","","Josh Hill","NO","TE59","9","305","389","352.9","24.8","390.0","-49.0"
"440","15","","Austin Seibert","CLE","K36","7","249","353","308.3","44.0","283.0","-157.0"
"441","15","","Tavon Austin","DAL","WR149","8","296","390","338.7","33.3","413.0","-28.0"
"442","15","","Demetrius Harris","CLE","TE60","7","295","391","363.2","23.2","440.0","-2.0"
"443","15","","Alex Erickson","CIN","WR150","9","280","384","356.4","21.4","681.0","+238.0"
"444","15","","Nick Mullens","SF","QB42","4","279","385","343.5","27.3","456.0","+12.0"
"445","15","","Darius Slayton","NYG","WR151","11","250","366","334.0","28.5","452.0","+7.0"
"446","15","","Corey Grant","FA","RB125","","314","359","334.6","16.7","804.0","+358.0"
"447","15","","Darius Jackson","DAL","RB126","8","277","378","319.5","38.2","324.0","-123.0"
"448","15","","C.J. Prosise","SEA","RB127","11","245","406","338.2","58.1","562.0","+114.0"
"449","15","","J.D. McKissic","SEA","RB128","11","227","386","347.2","28.7","1,022.0","+573.0"
"450","15","","Braxton Berrios","NE","WR152","10","246","250","248.0","2.0","602.0","+152.0"
"451","15","","Jacob Hollister","SEA","TE61","11","282","342","323.8","24.3","575.0","+124.0"
"452","15","","Seth Roberts","BAL","WR153","8","301","377","338.8","30.3","448.0","-4.0"
"453","15","","Jordan Lasley","OAK","WR154","6","289","376","325.8","35.1","560.0","+107.0"
"454","15","","Boston Scott","PHI","RB129","10","315","363","340.2","19.4","1,024.0","+570.0"
"455","15","","Benny Cunningham","JAC","RB130","10","238","387","342.4","38.4","1,020.0","+565.0"
"456","15","","Nick O'Leary","MIA","TE62","5","260","332","308.0","33.9","1,006.0","+550.0"
"457","15","","Byron Pringle","KC","WR155","12","246","380","331.5","51.3","494.0","+37.0"
"458","15","","Tyrod Taylor","LAC","QB43","12","293","362","332.0","26.3","484.0","+26.0"
"459","15","","DeAndre Washington","OAK","RB131","6","322","380","355.0","17.8","731.0","+272.0"
"460","15","","Alex Barnes","TEN","RB132","11","249","368","351.4","20.3","460.0","0.0"
"461","15","","Justin Hardy","ATL","WR156","9","293","370","352.4","18.2","544.0","+83.0"
"462","15","","Jacquizz Rodgers","NO","RB133","9","321","331","327.7","4.7","667.0","+205.0"
"463","15","","Blake Bell","KC","TE63","12","319","394","363.0","20.6","435.0","-28.0"
"464","15","","Paul Perkins","NYG","RB134","11","235","352","293.5","58.5","569.0","+105.0"
"465","15","","Xavier Grimble","PIT","TE64","7","285","362","331.3","33.3","551.0","+86.0"
"466","15","","Foster Moreau","OAK","TE65","6","173","402","366.0","34.0","495.0","+29.0"
"467","15","","Colt McCoy","WAS","QB44","10","269","397","349.5","48.2","527.0","+60.0"
"468","15","","Chad Williams","ARI","WR157","12","304","409","352.3","40.2","737.0","+269.0"
"469","15","","Drew Sample","CIN","TE66","9","267","370","335.0","48.1","491.0","+22.0"
"470","15","","Elijah Holyfield","CAR","RB135","7","264","349","306.5","42.5","340.0","-130.0"
"471","15","","Ryan Griffin","NYJ","TE67","4","320","356","337.0","14.8","555.0","+84.0"
"472","15","","Marcell Ateman","OAK","WR158","6","341","383","362.2","18.2","584.0","+112.0"
"473","15","","Brice Butler","MIA","WR159","5","333","396","354.8","24.4","826.0","+353.0"
"474","16","","James Develin","NE","RB136","10","327","376","355.0","17.7","362.0","-112.0"
"475","16","","Rhett Ellison","NYG","TE68","11","308","388","369.8","16.7","717.0","+242.0"
"476","16","","Gregory Howell","HOU","RB137","10","245","383","314.0","69.0","873.0","+397.0"
"477","16","","Greg Dortch","NYJ","WR160","4","290","340","315.0","25.0","598.0","+121.0"
"478","16","","Jacoby Brissett","IND","QB45","6","343","387","365.4","18.3","421.0","-57.0"
"479","16","","Mo Alie-Cox","IND","TE69","6","301","394","366.4","19.4","442.0","-37.0"
"480","16","","Trent Sherfield","ARI","WR161","12","261","378","319.5","58.5","629.0","+149.0"
"481","16","","T.J. Logan","ARI","RB138","12","321","394","345.7","34.2","635.0","+154.0"
"482","16","","Raheem Mostert","SF","RB139","4","330","392","366.6","22.9","836.0","+354.0"
"483","16","","James O'Shaughnessy","JAC","TE70","10","320","389","367.0","24.5","593.0","+110.0"
"484","16","","Jeremy Hill","FA","RB140","","318","364","347.3","20.8","683.0","+199.0"
"485","16","","Russell Shepard","NYG","WR162","11","346","377","360.0","11.2","619.0","+134.0"
"486","16","","Nick Boyle","BAL","TE71","8","349","383","360.5","13.2","523.0","+37.0"
"487","16","","Isaiah McKenzie","BUF","WR163","6","290","385","348.3","41.7","454.0","-33.0"
"488","16","","Noah Brown","DAL","WR164","8","323","372","348.3","20.0","547.0","+59.0"
"489","16","","Tajae Sharpe","TEN","WR165","11","328","416","366.5","34.9","450.0","-39.0"
"490","16","","CJ Ham","MIN","RB141","12","322","372","350.3","20.9","486.0","-4.0"
"491","16","","Elijhaa Penny","NYG","RB142","11","329","392","362.5","25.2","817.0","+326.0"
"492","16","","Robert Griffin","BAL","QB46","8","338","397","378.0","17.5","397.0","-95.0"
"493","16","","Lee Smith","BUF","TE72","6","299","360","329.5","30.5","698.0","+205.0"
"494","16","","Virgil Green","LAC","TE73","12","350","356","352.3","2.6","510.0","+16.0"
"495","16","","Richie James","SF","WR166","4","315","373","353.0","26.9","588.0","+93.0"
"496","16","","Ed Dickson","SEA","TE74","11","341","383","364.5","16.3","512.0","+16.0"
"497","16","","Eli Rogers","PIT","WR167","7","341","415","375.4","27.2","565.0","+68.0"
"498","16","","Austin Carr","NO","WR168","9","333","339","336.0","3.0","582.0","+84.0"
"499","16","","Devine Ozigbo","NO","RB143","9","329","344","336.5","7.5","418.0","-81.0"
"500","16","","Chris Warren III","FA","RB144","","289","385","337.0","48.0","830.0","+330.0"
"501","16","","Maxx Williams","ARI","TE75","12","345","396","367.8","18.3","592.0","+91.0"
"502","16","","Bennie Fowler","NYG","WR169","11","318","383","358.7","28.9","774.0","+272.0"
"503","16","","Dan Arnold","NO","TE76","9","336","411","366.3","32.3","744.0","+241.0"
"504","16","","Garrett Celek","SF","TE77","4","349","397","371.5","17.3","634.0","+130.0"
"505","16","","Trevon Wesco","NYJ","TE78","4","348","350","349.0","1.0","782.0","+277.0"
"506","16","","Brandon Powell","DET","WR170","5","359","373","365.3","5.8","777.0","+271.0"
"507","16","","Brett Hundley","ARI","QB47","12","320","397","365.7","33.0","1,015.0","+508.0"
"508","16","","Kenjon Barner","ATL","RB145","9","329","393","374.5","26.4","709.0","+201.0"
"509","16","","Samaje Perine","WAS","RB146","10","312","392","352.0","40.0","567.0","+58.0"
"510","16","","Dwayne Allen","MIA","TE79","5","322","389","355.5","33.5","600.0","+90.0"
"511","16","","Josh Bellamy","NYJ","WR171","4","343","370","356.5","13.5","470.0","-41.0"
"512","16","","Zach Line","NO","RB147","9","352","363","357.5","5.5","772.0","+260.0"
"513","16","","Jordan Taylor","MIN","WR172","12","345","396","371.7","20.9","853.0","+340.0"
"514","16","","Emanuel Hall","CHI","WR173","6","341","377","359.0","18.0","354.0","-160.0"
"515","16","","Bruce Ellington","FA","WR174","","353","368","360.5","7.5","1,002.0","+487.0"
"516","16","","Mack Hollins","PHI","WR175","10","362","375","368.5","6.5","806.0","+290.0"
"517","16","","Dwayne Washington","NO","RB148","9","373","380","376.5","3.5","877.0","+360.0"
"518","16","","Cody Core","CIN","WR176","9","384","396","391.2","4.3","577.0","+59.0"
"519","16","","Patrick DiMarco","BUF","RB149","6","365","401","383.0","18.0","611.0","+92.0"
"520","16","","Kenneth Farrow","MIA","RB150","5","382","382","382.0","0.0","808.0","+288.0"
"521","16","","Andy Janovich","DEN","RB151","10","377","399","388.0","9.0","549.0","+28.0"
"522","16","","Anthony Sherman","KC","RB152","12","375","392","383.5","8.5","475.0","-47.0"
"523","16","","Luke Stocker","ATL","TE80","9","376","412","394.0","18.0","800.0","+277.0"
"524","16","","David Fluellen","TEN","RB153","11","386","393","389.5","3.5","628.0","+104.0"
""
""
