"Rank","Tier","WSID","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"424","14","","Demetrius Harris","CLE","TE58","7","248","423","365.6","37.5","",""
"425","14","","Mo Alie-Cox","IND","TE59","6","293","413","374.7","31.3","",""
"426","14","","Will Grier","CAR","QB40","7","235","429","333.8","34.5","",""
"427","14","","LeGarrette Blount","FA","RB118","","244","342","317.5","22.0","",""
"428","14","","Karan Higdon","HOU","RB119","10","191","413","302.1","48.0","",""
"429","14","","Ty Johnson","DET","RB120","5","232","455","302.9","74.1","",""
"430","14","","Josh Ferguson","HOU","RB121","10","127","454","277.8","102.5","",""
"431","14","","Jordan Akins","HOU","TE60","10","264","417","366.2","39.6","",""
"432","14","","Josh Hill","NO","TE61","9","337","414","377.2","23.9","",""
"433","14","","Matt Gay","TB","K35","7","243","361","332.3","24.1","343.0","-90.0"
"434","14","","Kevin White","ARI","WR145","12","252","403","335.6","51.9","",""
"435","14","","Pierre Garcon","FA","WR146","","243","409","295.7","54.2","",""
"436","14","","Alex Collins","FA","RB122","","201","335","298.2","40.1","274.0","-162.0"
"437","14","","Scott Miller","TB","WR147","7","240","435","324.3","60.2","",""
"438","14","","Dez Bryant","FA","WR148","","218","417","301.2","62.4","",""
"439","14","","Darius Slayton","NYG","WR149","11","280","392","344.0","39.2","",""
"440","14","","Robert Griffin","BAL","QB41","8","296","433","344.8","44.4","",""
"441","14","","Seth Roberts","BAL","WR150","8","272","403","353.0","34.6","319.0","-122.0"
"442","14","","Foster Moreau","OAK","TE62","6","193","413","345.3","69.2","",""
"443","14","","Justin Hardy","ATL","WR151","9","271","404","361.3","23.3","",""
"444","14","","Teddy Bridgewater","NO","QB42","9","266","480","354.3","56.9","",""
"445","14","","Tajae Sharpe","TEN","WR152","11","257","418","356.1","62.2","323.0","-122.0"
"446","14","","Ed Dickson","SEA","TE63","11","286","423","382.2","31.8","",""
"447","14","","Kelvin Benjamin","FA","WR153","","257","412","314.2","53.9","",""
"448","14","","Austin Seibert","CLE","K36","7","253","372","317.6","42.7","277.0","-171.0"
"449","14","","Nick Mullens","SF","QB43","4","279","488","346.3","66.4","",""
"450","14","","Braxton Berrios","NE","WR154","10","237","397","347.7","50.8","",""
"451","14","","Tavon Austin","DAL","WR155","8","287","403","365.7","31.1","",""
"452","14","","Rhett Ellison","NYG","TE64","11","287","419","379.5","31.5","",""
"453","14","","Corey Grant","FA","RB123","","302","462","352.2","53.2","",""
"454","14","","Richie James","SF","WR156","4","290","429","353.0","44.9","",""
"455","14","","Chris Ivory","FA","RB124","","241","351","330.0","13.0","362.0","-93.0"
"456","14","","Jacob Hollister","SEA","TE65","11","261","407","334.6","49.2","",""
"457","14","","Darius Jackson","DAL","RB125","8","266","333","302.5","23.9","",""
"458","14","","Garrett Celek","SF","TE66","4","349","413","386.3","18.5","",""
"459","14","","Maxx Williams","ARI","TE67","12","320","412","360.8","37.0","",""
"460","14","","Blake Bell","KC","TE68","12","278","400","376.4","19.1","",""
"461","14","","Brice Butler","MIA","WR157","5","248","424","390.8","19.8","",""
"462","14","","Alex Barnes","TEN","RB126","11","292","358","344.4","6.9","",""
"463","14","","DeAndre Washington","OAK","RB127","6","288","436","382.3","41.4","",""
"464","14","","Boston Scott","PHI","RB128","10","282","397","349.0","49.8","",""
"465","14","","C.J. Prosise","SEA","RB129","11","241","426","352.0","69.7","",""
"466","14","","Jeremy Hill","FA","RB130","","134","359","275.7","100.7","",""
"467","14","","J.D. McKissic","SEA","RB131","11","246","422","355.4","55.0","",""
"468","14","","Nick O'Leary","MIA","TE69","5","256","409","355.4","55.5","",""
"469","14","","Jacoby Brissett","IND","QB44","6","282","482","358.8","71.2","",""
"470","14","","James O'Shaughnessy","JAC","TE70","10","293","420","376.3","25.2","",""
"471","14","","Emmanuel Butler","NO","WR158","9","247","334","284.0","36.7","",""
"472","14","","Cody Core","CIN","WR159","9","299","416","377.3","36.3","",""
"473","14","","Marcell Ateman","OAK","WR160","6","295","440","390.7","24.2","366.0","-107.0"
"474","14","","Russell Shepard","NYG","WR161","11","317","438","379.0","39.3","",""
"475","15","","Benny Cunningham","JAC","RB132","10","285","421","362.0","57.3","",""
"476","15","","Paul Perkins","NYG","RB133","11","272","464","393.4","49.6","",""
"477","15","","Tyrod Taylor","LAC","QB45","12","268","465","337.8","75.4","",""
"478","15","","Austin Carr","NO","WR162","9","278","416","364.2","42.6","",""
"479","15","","Eli Rogers","PIT","WR163","7","310","397","365.8","25.7","",""
"480","15","","Colt McCoy","WAS","QB46","10","243","336","297.3","39.6","",""
"481","15","","Kyle Juszczyk","SF","RB134","4","232","420","367.2","64.3","321.0","-160.0"
"482","15","","Byron Pringle","KC","WR164","12","244","460","368.8","75.8","",""
"483","15","","Jordan Taylor","MIN","WR165","12","322","456","387.5","43.1","",""
"484","15","","Dan Arnold","NO","TE71","9","309","424","389.8","33.3","",""
"485","15","","Chris Warren III","FA","RB135","","223","375","311.0","64.3","",""
"486","15","","Raheem Mostert","SF","RB136","4","319","428","390.3","37.3","",""
"487","15","","Virgil Green","LAC","TE72","12","343","415","390.8","21.3","",""
"488","15","","Brandon Powell","DET","WR166","5","352","439","390.8","27.2","",""
"489","15","","Nick Boyle","BAL","TE73","8","234","398","375.6","20.1","",""
"490","15","","Isaiah McKenzie","BUF","WR167","6","270","462","391.2","36.7","329.0","-161.0"
"491","15","","Xavier Grimble","PIT","TE74","7","289","422","393.3","23.4","",""
"492","15","","Josh Bellamy","NYJ","WR168","4","311","431","394.5","17.8","",""
"493","15","","Andre Roberts","BUF","WR169","6","329","410","380.2","27.2","",""
"494","15","","Dwayne Allen","MIA","TE75","5","339","406","380.2","27.0","",""
"495","15","","Chad Williams","ARI","WR170","12","302","418","381.0","22.8","",""
"496","15","","Mack Hollins","PHI","WR171","10","304","397","360.8","37.8","",""
"497","15","","Elijah Holyfield","CAR","RB137","7","232","430","382.4","32.7","234.0","-263.0"
"498","15","","DeAndre Carter","HOU","WR172","10","301","425","397.2","26.6","",""
"499","15","","Lee Smith","BUF","TE76","6","279","449","363.3","60.3","",""
"500","15","","Kenjon Barner","ATL","RB138","9","331","435","363.5","42.5","",""
"501","15","","Zach Pascal","IND","WR173","6","308","432","384.6","41.1","349.0","-152.0"
"502","15","","Luke Stocker","ATL","TE77","9","296","416","385.4","45.5","",""
"503","15","","Bennie Fowler","NYG","WR174","11","283","429","387.0","40.1","",""
"504","15","","Ryan Griffin","NYJ","TE78","4","344","415","369.3","27.3","",""
"505","15","","Dwayne Washington","NO","RB139","9","294","420","390.6","27.8","",""
"506","15","","Vyncint Smith","HOU","WR175","10","330","423","391.0","25.6","",""
"507","15","","Drew Sample","CIN","TE79","9","293","433","373.0","50.5","",""
"508","15","","T.J. Logan","ARI","RB140","12","333","475","374.5","58.7","",""
"509","15","","Trevon Wesco","NYJ","TE80","4","313","367","341.3","22.1","",""
"510","15","","Auden Tate","CIN","WR176","9","280","389","343.7","46.3","",""
"511","15","","Noah Brown","DAL","WR177","8","315","426","376.8","46.8","",""
"512","15","","Anthony Firkser","TEN","TE81","11","324","446","395.2","39.5","",""
"513","15","","Gregory Howell","HOU","RB141","10","261","317","289.0","28.0","",""
"514","15","","Devine Ozigbo","NO","RB142","9","280","299","289.5","9.5","",""
"515","15","","James Develin","NE","RB143","10","302","430","398.6","48.8","346.0","-169.0"
"516","15","","Trent Sherfield","ARI","WR178","12","275","419","353.3","59.5","",""
"517","15","","Logan Paulsen","ATL","TE82","9","365","443","400.4","29.7","",""
"518","15","","Damion Ratley","CLE","WR179","7","294","423","383.5","52.0","",""
"519","15","","Stephen Anderson","NE","TE83","10","347","426","383.8","30.8","",""
"520","15","","Brett Hundley","ARI","QB47","12","292","436","355.7","60.0","",""
"521","15","","Andy Jones","DET","WR180","5","345","419","386.3","26.6","",""
"522","15","","Dylan Cantrell","FA","WR181","","394","420","403.6","8.9","",""
"523","15","","Emanuel Hall","CHI","WR182","6","348","458","387.8","41.8","245.0","-278.0"
"524","15","","Juwann Winfree","DEN","WR183","10","351","411","390.0","23.7","",""
"525","15","","Jaleel Scott","BAL","WR184","8","347","380","365.0","13.6","",""
"526","15","","Kapri Bibbs","FA","RB144","","261","376","318.5","57.5","340.0","-186.0"
"527","15","","Dalton Schultz","DAL","TE84","8","359","410","395.3","21.0","",""
"528","15","","CJ Ham","MIN","RB145","12","327","443","371.3","51.1","",""
"529","15","","Jordan Lasley","OAK","WR185","6","287","359","323.0","36.0","",""
"530","15","","Samaje Perine","WAS","RB146","10","321","329","325.0","4.0","",""
"531","15","","Detrez Newsome","LAC","RB147","12","301","451","377.3","61.3","",""
"532","15","","Russell Gage","ATL","WR186","9","299","367","333.0","34.0","",""
"533","15","","Elliott Fry","CHI","K37","6","305","361","333.0","28.0","",""
"534","15","","Ryan Finley","CIN","QB48","9","331","339","335.0","4.0","",""
"535","15","","Tommylee Lewis","DET","WR187","5","375","388","379.7","5.9","",""
"536","15","","Levine Toilolo","SF","TE85","4","377","428","403.3","18.3","",""
"537","15","","Travis Fulgham","DET","WR188","5","360","422","382.0","28.3","",""
"538","15","","Deontay Burnett","NYJ","WR189","4","352","422","385.0","28.7","",""
"539","15","","Jacquizz Rodgers","NO","RB148","9","327","362","344.5","17.5","",""
"540","15","","Elijhaa Penny","NYG","RB149","11","284","415","349.5","65.5","",""
"541","15","","Bobo Wilson","TB","WR190","7","365","405","390.7","18.2","",""
"542","15","","Seth DeValve","CLE","TE86","7","336","442","391.7","43.4","",""
"543","15","","David Fluellen","TEN","RB150","11","333","435","394.7","44.3","",""
"544","15","","Zach Line","NO","RB151","9","291","426","358.5","67.5","",""
"545","15","","Bruce Ellington","FA","WR191","","356","364","360.0","4.0","",""
"546","15","","Brandon Zylstra","MIN","WR192","12","328","393","360.5","32.5","",""
"547","15","","Gehrig Dieter","KC","WR193","12","348","373","360.5","12.5","",""
"548","15","","David Williams","DEN","RB152","10","329","394","361.5","32.5","",""
"549","15","","Jordan Leggett","TB","TE87","7","400","452","416.8","21.1","",""
"550","15","","John Ursua","SEA","WR194","11","346","387","366.5","20.5","",""
"551","15","","Eric Tomlinson","NYJ","TE88","4","389","413","402.7","10.1","",""
"552","15","","Michael Floyd","BAL","WR195","8","364","384","374.0","10.0","",""
"553","15","","Daurice Fountain","IND","WR196","6","353","396","374.5","21.5","",""
"554","15","","Roc Thomas","JAC","RB153","10","323","428","375.5","52.5","",""
"555","15","","Dwayne Harris","OAK","WR197","6","375","377","376.0","1.0","",""
"556","15","","Daniel Brown","NYJ","TE89","4","354","399","376.5","22.5","",""
"557","15","","Josh Malone","CIN","WR198","9","339","425","382.0","43.0","",""
"558","15","","Matt Schaub","ATL","QB49","9","295","486","390.5","95.5","",""
"559","15","","Anthony Sherman","KC","RB154","12","332","438","385.0","53.0","",""
"560","16","","Matt Barkley","BUF","QB50","6","308","467","387.5","79.5","",""
"561","16","","Mason Rudolph","PIT","QB51","7","308","492","400.0","92.0","",""
"562","16","","Darren Fells","HOU","TE90","10","333","447","390.0","57.0","",""
"563","16","","Chase Daniel","CHI","QB52","6","316","468","392.0","76.0","",""
"564","16","","Troy Fumagalli","DEN","TE91","10","337","448","392.5","55.5","",""
"565","16","","AJ McCarron","HOU","QB53","10","316","481","398.5","82.5","",""
"566","16","","Rico Gathers","FA","TE92","","387","407","397.0","10.0","",""
"567","16","","Derek Carrier","OAK","TE93","6","413","430","421.0","7.0","",""
"568","16","","Andy Janovich","DEN","RB155","10","359","437","398.0","39.0","",""
"569","16","","Artavis Scott","LAC","WR199","12","367","429","398.0","31.0","",""
"570","16","","D.J. Foster","ARI","RB156","12","383","420","401.5","18.5","",""
"571","16","","Drew Stanton","CLE","QB54","7","335","472","403.5","68.5","",""
"572","16","","Brian Hoyer","NE","QB55","10","336","485","410.5","74.5","",""
"573","16","","DeShone Kizer","GB","QB56","11","336","493","414.5","78.5","",""
"574","16","","Cooper Rush","DAL","QB57","8","338","490","414.0","76.0","",""
"575","16","","TJ Jones","NYG","WR200","11","380","428","404.0","24.0","",""
"576","16","","Logan Thomas","DET","TE94","5","395","414","404.5","9.5","",""
"577","16","","Khalfani Muhammad","DEN","RB157","10","390","426","408.0","18.0","",""
"578","16","","Jonathan Williams","IND","RB158","6","393","426","409.5","16.5","",""
"579","16","","Patrick DiMarco","BUF","RB159","6","370","450","410.0","40.0","",""
"580","16","","Quinton Flowers","CIN","QB58","9","351","489","420.0","69.0","",""
"581","16","","Alex Armah","CAR","RB160","7","379","445","412.0","33.0","",""
"582","16","","Ricky Ortiz","ATL","RB161","9","384","446","415.0","31.0","",""
"583","16","","Jamize Olawale","DAL","RB162","8","368","476","422.0","54.0","",""
"584","16","","Roosevelt Nix","PIT","RB163","7","381","458","419.5","38.5","",""
"585","16","","Tyler Conklin","NE","TE95","10","404","436","420.0","16.0","",""
"586","16","","Zach Gentry","PIT","TE96","7","401","441","421.0","20.0","",""
"587","16","","Kenneth Farrow","MIA","RB164","5","420","427","423.5","3.5","",""
"588","16","","Jeremy Sprinkle","WAS","TE97","10","394","454","424.0","30.0","",""
"589","16","","Scott Simonson","NYG","TE98","11","419","445","432.0","13.0","",""
"590","16","","Joshua Perkins","PHI","TE99","10","404","464","434.0","30.0","",""
"591","16","","Richard Rodgers","PHI","TE100","10","410","466","438.0","28.0","",""
""
""
