"Player","Team","REC","YDS","TDS","FL","FPTS"
"Alize Mack","NO","6.9","67.1","0.6","0.0","17.2"
"Stephen Anderson","NE","6.1","83.2","0.5","0.0","17.2"
"Garrett Griffin","NO","6.0","49.0","1.0","0.0","16.9"
"Kaden Smith","SF","6.4","71.6","0.6","0.0","16.9"
"Isaac Nauta","DET","6.9","65.0","0.6","0.0","16.7"
"Chris Manhertz","CAR","5.3","74.4","0.7","0.0","16.7"
"Seth DeValve","CLE","6.0","74.4","0.5","0.0","16.6"
"Antony Auclair","TB","7.1","63.6","0.4","0.0","16.0"
"Dalton Schultz","DAL","7.0","72.6","0.3","0.1","15.7"
"Jeremy Sprinkle","WAS","5.9","61.9","0.5","0.1","15.0"
"Darren Fells","HOU","5.3","70.4","0.4","0.0","14.9"
"Durham Smythe","MIA","6.0","64.5","0.4","0.1","14.6"
"Cethan Carter","CIN","5.0","47.1","0.6","0.0","13.1"
"Richard Rodgers","PHI","4.9","54.1","0.4","0.0","12.6"
"Caleb Wilson","ARI","5.3","57.7","0.1","0.0","11.7"
"Jordan Franks","CIN","4.2","49.9","0.4","0.0","11.6"
"Jason Vander Laan","CAR","2.4","53.3","0.5","0.0","10.8"
"Lee Smith","BUF","3.5","41.2","0.4","0.0","9.8"
"Deon Yelder","KC","3.7","39.3","0.3","0.0","9.6"
"Sean Culkin","LAC","3.4","39.7","0.4","0.0","9.4"
"Jordan Leggett","TB","4.2","29.7","0.3","0.0","9.0"
"Joshua Perkins","PHI","3.5","37.9","0.3","0.1","8.9"
"David Morgan","MIN","3.8","36.4","0.2","0.0","8.5"
"Cole Wick","TEN","3.6","33.2","0.3","0.0","8.5"
"Scott Simonson","NYG","3.4","31.2","0.3","0.0","8.0"
"Logan Thomas","DET","2.9","24.7","0.4","0.0","7.9"
"Ben Braunecker","CHI","3.3","33.7","0.2","0.0","7.7"
"Jerome Cunningham","DET","3.0","30.6","0.3","0.0","7.6"
"Eric Saubert","NE","3.0","28.7","0.3","0.0","7.6"
"Tommy Sweeney","BUF","2.9","33.0","0.2","0.0","7.2"
